profile_name,profile_url,post_text,post_date,reactions,comments,hashtags,hashtag_count,post_length,scraped_at
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,"Calling Innovators & Visionaries!

The Co. Innovation Centre at SRMIST, supported by IHFC - IIT Delhi - NMICPS - DST, invites proposals for Grand R&D Projects, Startups, and the READY Program in cutting-edge DeepTech domains such as AI/ML, IoT, Robotics, and allied technologies.

Submit your proposal by filling out the form:

Deadline: 23rd April 2025
Shortlist Announcement: 25th April 2025

For queries, contact:
T – 98943 82339
Co-Innovation Mentor, CiC-SRMIST","6d • 
 6 days ago • Visible to anyone on or off LinkedIn",45,3,,0,465,2025-04-23 21:25:50
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,"Milan Carnival 2025 concluded with vibrant performances and electrifying energy. 

The evening featured a compelling mime performance by The Dramatics Club on ‘War vs Education,’ a dynamic fashion show by The Fashion Club showcasing ‘Street Style – Denim Fashion,’ and an exhilarating DJ session with a mix of Hindi, Tamil, and Malayalam tracks.","3w • 
 3 weeks ago • Visible to anyone on or off LinkedIn",1021,5,,0,345,2025-04-23 21:25:51
Unknown Profile,https://www.linkedin.com/in/aarongolbin/,"A celebration of student creativity and problem-solving, the App Fair 2025 at the iOS Development Centre, SRMIST, brought to light app-based solutions addressing real-world challenges.

To know more, click the article given below.","2w • 
 2 weeks ago • Visible to anyone on or off LinkedIn",107,0,,0,230,2025-04-23 21:25:52
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:26:58
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:26:59
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:27:01
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:27:02
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,"Calling Innovators & Visionaries!

The Co. Innovation Centre at SRMIST, supported by IHFC - IIT Delhi - NMICPS - DST, invites proposals for Grand R&D Projects, Startups, and the READY Program in cutting-edge DeepTech domains such as AI/ML, IoT, Robotics, and allied technologies.

Submit your proposal by filling out the form:

Deadline: 23rd April 2025
Shortlist Announcement: 25th April 2025

For queries, contact:
T – 98943 82339
Co-Innovation Mentor, CiC-SRMIST","6d • 
 6 days ago • Visible to anyone on or off LinkedIn",45,3,,0,465,2025-04-23 21:27:04
Unknown Profile,https://www.linkedin.com/in/robertsch%C3%B6ne/,"Milan Carnival 2025 concluded with vibrant performances and electrifying energy. 

The evening featured a compelling mime performance by The Dramatics Club on ‘War vs Education,’ a dynamic fashion show by The Fashion Club showcasing ‘Street Style – Denim Fashion,’ and an exhilarating DJ session with a mix of Hindi, Tamil, and Malayalam tracks.","3w • 
 3 weeks ago • Visible to anyone on or off LinkedIn",1021,5,,0,345,2025-04-23 21:27:05
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:28:15
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:28:17
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:28:18
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,No text content,Unknown date,0,0,,0,15,2025-04-23 21:28:19
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,"Calling Innovators & Visionaries!

The Co. Innovation Centre at SRMIST, supported by IHFC - IIT Delhi - NMICPS - DST, invites proposals for Grand R&D Projects, Startups, and the READY Program in cutting-edge DeepTech domains such as AI/ML, IoT, Robotics, and allied technologies.

Submit your proposal by filling out the form:

Deadline: 23rd April 2025
Shortlist Announcement: 25th April 2025

For queries, contact:
T – 98943 82339
Co-Innovation Mentor, CiC-SRMIST","6d • 
 6 days ago • Visible to anyone on or off LinkedIn",45,3,,0,465,2025-04-23 21:28:20
Unknown Profile,https://www.linkedin.com/in/jaspar-carmichael-jack/,"Milan Carnival 2025 concluded with vibrant performances and electrifying energy. 

The evening featured a compelling mime performance by The Dramatics Club on ‘War vs Education,’ a dynamic fashion show by The Fashion Club showcasing ‘Street Style – Denim Fashion,’ and an exhilarating DJ session with a mix of Hindi, Tamil, and Malayalam tracks.","3w • 
 3 weeks ago • Visible to anyone on or off LinkedIn",1021,5,,0,345,2025-04-23 21:28:21
